group_value,count,RMSE_NWM,MAE_NWM,Bias_NWM,PBIAS_NWM,NSE_NWM,R_NWM,RMSE_Corrected,MAE_Corrected,Bias_Corrected,PBIAS_Corrected,NSE_Corrected,R_Corrected
2023-01-22,24,1.0130922510634712,0.9463628625,0.9463628625,21.08548116070255,-1152.803242542419,0.21566741532928121,1.9263145172644893,1.891672875,1.891672875,42.147504248693544,-4170.46076631168,0.22814022745786824
2023-01-23,24,1.6953504162644797,1.5974724666666666,1.5974724666666666,32.19070322932516,-63.52511810481029,0.9001170624485947,2.63642442376763,2.5735000416666667,2.5735000416666667,51.85865661572859,-155.04164003809902,0.8993694425131343
2023-01-24,24,0.8861780233961419,0.8259340208333333,0.8259340208333333,19.26047625391993,-30.250408966279913,-0.30010930397860586,1.7851463512838204,1.7623569666666665,1.7623569666666665,41.09751342264091,-125.81230808740246,-0.25089273570819204
2023-01-25,24,2.657895379056244,1.7492455291666669,-1.1608689791666666,-13.3804348887982,0.66921488914033,0.8659614131741457,2.4118427528165425,1.7284516208333336,-0.31445110416666683,-3.624433592870358,0.7276244203865911,0.8652254750698758
2023-01-26,24,2.0207691396126117,1.9457661333333334,-1.9457661333333334,-21.263423634930028,-2.8323779843204386,0.990500536071906,1.1192628850258706,0.9901581458333334,-0.9766905625,-10.673320310646929,-0.17570709837274112,0.990784903043117
2023-01-27,24,1.7696438392764422,1.7090053875000002,-1.7090053875000002,-24.358377774568293,-21.42425126970327,-0.264384537348805,0.8873430909635404,0.7824262833333334,-0.7824262833333334,-11.151887015443796,-4.638055652766626,-0.10681148300982836
2023-01-28,24,0.8463799134634574,0.7709771499999999,-0.4999888333333334,-8.315261908060712,-14.77321290365796,-0.8335195680207209,0.7572573024927978,0.5852983708333332,0.33017508749999996,5.491107290888221,-11.626308884497965,-0.8276292689323917
2023-01-29,24,0.6338672008753696,0.4703366125,0.19793636249999988,3.4549011438374673,-15.011905211413172,0.8432360998638776,1.1952625965413155,1.0157001874999996,1.0157001874999996,17.728646193494036,-55.93418511011019,0.8340808318051038
2023-01-30,24,0.7879546610060193,0.72670705,0.72670705,13.44000900751133,-18.314957281310097,0.9164959144006073,1.7255541488573107,1.6992831,1.6992831,31.427217019996952,-91.62932061069982,0.9130052602373496
2023-01-31,24,0.2653705168041855,0.20823595416666693,0.20779020416666694,4.179731909538502,-13.558466497475871,-0.3562946460221301,1.2018161097424562,1.1904189083333334,1.1904189083333334,23.945459396574375,-297.5976141906722,-0.3584154198062419
